id,size,groupid
Ahmed Indian Restaurant 1,148,1
Ahmed Indian Restaurant 2,139,1
Bachata Breeze Restaurant,9,1
Backlot Express,130,1
Bamboo Garden Super Buffet,11,1
Biergarten Restaurant,601,1
Boi Brazil Churrascaria,374,1
Boston Lobster Feast,774,1
Breakfast with Goofy and his Pals,9,1
Buffet City,76,1
Cafe Gauguin,49,1
Cafe Matisse,29,1
Café Osceola,59,1
Chef Mickey's,575,1
Cici's Pizza 1,103,1
Cici's Pizza 2,33,1
Cici's Pizza 3,56,1
Cici's Pizza 4,35,1
Covington Mill Restaurant,18,1
Crazy Buffet 1,6,1
Crazy Buffet 2,247,1
Crydermans Barbecue,119,1
Curry House Indian Cuisine,16,1
El Palacio Buffet 1,41,1
El Palacio Buffet 2,157,1
El Palacio Buffet 3,27,1
El Potro,252,1
Estrella Latina,8,1
Fresh Mediterranean Market,54,1
Garden Grill Restaurant,253,1
Gateway To India,189,1
Giant Panda,165,1
Golden Corral Buffet & Grill 1,74,1
Golden Corral Buffet & Grill 10,64,1
Golden Corral Buffet & Grill 11,35,1
Golden Corral Buffet & Grill 2,23,1
Golden Corral Buffet & Grill 3,75,1
Golden Corral Buffet & Grill 4,165,1
Golden Corral Buffet & Grill 5,110,1
Golden Corral Buffet & Grill 6,116,1
Golden Corral Buffet & Grill 7,54,1
Golden Corral Buffet & Grill 8,123,1
Golden Corral Buffet & Grill 9,64,1
Harvest Bistro,84,1
Hokkaido Chinese & Japanese Buffet 1,401,1
Hokkaido Chinese & Japanese Buffet 2,331,1
Hollywood & Vine,287,1
Ichiban Buffet 1,434,1
Ichiban Buffet 2,31,1
Ichiban Buffet 3,495,1
Ichigo Ichie Buffet,76,1
Izziban Sushi And Korean BBQ,848,1
King Buffet,30,1
Koywan Hibachi Buffet,292,1
La China Blue,39,1
La Cita Country Club,6,1
Lai Lai Chinese Cuisine & Sushi Bar,68,1
Latitude & Longitude,29,1
Lechonera Latina,5,1
Mandolin's,12,1
Mei Asian China Buffet,139,1
Mikado Japanese Seafood Buffet,349,1
Minnie's Silver Screen Dine,5,1
Moghul Indian Cuisine,290,1
Nine Spices Hot Pot,506,1
Oreganatta,76,1
Phil-Asian Foodmart,14,1
Plaza Garden Restaurant,6,1
Ponderosa Steakhouse,21,1
Rosen Inn Lake Buena Vista,145,1
Saffron Indian Cuisine 1,870,1
Saffron Indian Cuisine 2,70,1
Savannah Bar and Grille,9,1
SeaWorld Orlando,1116,1
Spice Indian Grill,94,1
Texas de Brazil,848,1
The Crystal Palace,575,1
The Garden Gallery,21,1
The Knife - Lake Buena Vista,473,1
Tony's Brazilian Grill,53,1
Tropical Cabana,150,1
U & Me Revolving Hot Pot,105,1
Villa de Flora,144,1
Whistle Stop Restaurant,9,1
