prime_awardee_name,subawardee_name,subaward_action_date,subaward_amount,subaward_description
"TORCH TECHNOLOGIES, INC.","SIMULATION TECHNOLOGIES, INC.",2020-09-28,83367.36,"The contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.","BLUEHALO, LLC",2020-09-28,299191.34,"The contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.","HILL TECHNICAL SOLUTIONS, LLC",2020-09-28,228979.58,"The contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.",MONTE SANO RESEARCH CORPORATION,2020-09-28,43926.5,"he contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.","INTEGRATION INNOVATION, INC.",2020-11-25,69952.92,"The contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.",OPTICAL SCIENCES CORPORATION,2020-09-28,576381.21,"The contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.",OPTICAL SCIENCES CORPORATION,2020-09-28,576770.74,"The contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.",OPTICAL SCIENCES CORPORATION,2020-09-28,576770.74,"The contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.",OPTICAL SCIENCES CORPORATION,2020-09-28,576770.74,"The contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.",OPTICAL SCIENCES CORPORATION,2020-09-28,576770.74,"The contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.",OPTICAL SCIENCES CORPORATION,2020-09-28,576770.74,"The contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.",OPTICAL SCIENCES CORPORATION,2020-09-28,576770.74,"The contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
