prime_awardee_name,prime_award_amount,prime_awardee_state_name,prime_award_description
"TORCH TECHNOLOGIES, INC.",1827997.88,Alabama,HYPERSONIC THREAT SENSOR TECHNOLOGY SCENE PROJECTOR (HTSTSP) HWIL SUPPORT
UNIVERSAL TECHNOLOGY CORPORATION,4499808.0,Ohio,"""MANUFACTURING READINESS AND PROCESS TECHNOLOGY ASSESSMENTS FOR HYPERSONICS"""
LOCKHEED MARTIN CORPORATION,4441980.0,Texas,"RESEARCH AND DEVELOPMENT HYPERSONIC DEFENSE WEAPON SYSTEM WHITE PAPER TITLED ""VALKYRIE INTERCEPTOR TERMINAL HD"""
NORTHROP GRUMMAN SYSTEMS CORPORATION,22146625.0,California,"GLIDE BREAKER PROGRAM, GLIDE BREAKER WILL DEVELOP AN ENABLING TECHNOLOGY CRITICAL FOR AN ADVANCED INTERCEPTOR CAPABLE OF DEFEATING HYPERSONIC VEHICLES."
UNIVERSITY OF DAYTON,8802035.0,Ohio,MATERIALS MATURATION FOR HYPERSONICS
"BOEING COMPANY, THE",1849261.0,Missouri,IGF::OT::IGF   AIR-BREATHING HYPERSONIC VEHICLE ADVANCED AEROSHELL M&P
RAYTHEON COMPANY,1486918.0,Arizona,HYPERSONIC BOUNDARY-LAYER TRANSITION PREDICTION ANALYSIS AND CONTROL
"IERUS TECHNOLOGIES, INC",1495929.0,Alabama,SBIR/STTR PHASE II R&D MICROPARTICLE QUENCHING STRATEGIES FOR PROVIDING CONTINOUS COMMUNICATIONS THROUGH PLASMA DURING HYPERSONIC FLIGHT
RAYTHEON COMPANY,1000000.0,New Mexico,"RESEARCH AND DEVELOPMENT - HYPERSONIC DEFENSE WEAPON SYSTEM WHITE PAPER TITLED ""NON-KINETIC CONCEPT FOR HD"""
LOCKHEED MARTIN CORPORATION,3160595.0,California,MATERIALS ARCHITECTURES CHARACTERIZATION FOR HYPERSONICS (MACH)
LOCKHEED MARTIN CORPORATION,4794835.0,California,ENABLING TECHNOLOGY FOR HIGH-SPEED OPERABLE SYSTEMS (ETHOS): HYPERSONIC HEAT PIPE STRUCTURE DEMONSTRATOR (HYPAD)
"BOEING COMPANY, THE",1749190.0,Missouri,IGF::OT::IGF  GUIDANCE AND CONTROL SYSTEM DEVELOPMENT FOR AIRBREATHING HYPERSONIC AIRCRAFT
"PLASMA PROCESSES, LLC",3000000.0,Alabama,CARBON / CARBON COMPOSITE LEADING EDGES WITH INTEGRATED OXIDATION PROTECTION COATINGS FOR HYPERSONIC WEAPONS.
"BOEING COMPANY, THE",2419641.0,Missouri,SYNTACTIC METAL MATRIX COMPOSITES FOR MULTIFUNCTIONAL AND TUNABLE HYPERSONIC AIRFRAME HOT STRUCTURES
"BOEING COMPANY, THE",1538023.0,Alabama,"HYPERSONIC DEFENSE COMPONENT TECHNOLOGY, SOW TITLED ""TECHNOLOGY MATURATION OF A CAVITY FLOW SENSOR"", RESEARCH AND DEVELOPMENT"
LOCKHEED MARTIN CORPORATION,1123022.0,California,IGF::OT::IGF TPS-AIR BREATHING HYPERSONIC VEHICLE ENHANCED LIGHTWEIGHT METALLIC TPS M&P
GENERAL ATOMICS,41768559.0,Alabama,HTD PROGRAM SUPPORT
RAYTHEON COMPANY,18296850.0,Arizona,HYPERSONIC AIR-BREATHING WEAPON CONCEPT
"TORCH TECHNOLOGIES, INC.",3160804.72,Alabama,THIS IS A RESEARCH AND DEVELOPMENT SERVICE FOR FY20 HYPERSONIC DEFENSE MISSILE SYSTEM SUPPORT FOR THE U.S. ARMY COMBAT CAPABILITY DEVELOPMENT COMMAND AVIATION&MISSILE CENTER SYSTEM SIMULATION SOFTWARE AND INTEGRATION DIRECTORATE.
EXO-ATMOSPHERIC TECHNOLOGIES LLC,123922.1,Wisconsin,SBIR/STTR PHASE I RESEARCH&DEVELOPMENT - HIGH EFFICIENCY HYPERSONIC CONTROL FLAP
